title,description,published_at,source,industry,text,finbert_sentiment,finbert_score,vader_sentiment,vader_score,resolved_sentiment,numeric_sentiment
"India to get above-normal rainfall this monsoon, says IMD","NEW DELHI: India is expected to get above-normal rainfall in the upcoming southwest monsoon season, the India Meteorological Department said on Tuesday, raising hopes for a bountiful harvest for the largely agri-based economy. According to the long-range mons…",2025-04-15T12:24:49Z,Statetimes.in,agriculture,"India to get above-normal rainfall this monsoon, says IMD. NEW DELHI: India is expected to get above-normal rainfall in the upcoming southwest monsoon season, the India Meteorological Department said on Tuesday, raising hopes for a bountiful harvest for the largely agri-based economy. According to the long-range mons…",positive,0.9258225560188292,positive,0.4215,positive,1
"Mahindra to hike SUV and CV prices by up to 3% from April, joins rivals as input costs surge","Mahindra reported total auto sales of 83,702 vehicles last month, marking a 15 percent increase year-on-year, including exports.",2025-03-21T13:03:28Z,Business Today,auto,"Mahindra to hike SUV and CV prices by up to 3% from April, joins rivals as input costs surge. Mahindra reported total auto sales of 83,702 vehicles last month, marking a 15 percent increase year-on-year, including exports.",positive,0.943708837032318,positive,0.3182,positive,1
"Auto sales hit record highs for third year despite slowing growth, SIAM data shows","Indian auto sales saw modest growth in fiscal year 2024-25, with passenger vehicle sales up 2% driven by utility vehicles. Two-wheeler sales surged by 9.1% due to rural demand, while three-wheelers also rose. Commercial vehicles experienced a slight decline. …",2025-04-15T11:35:23Z,The Times of India,auto,"Auto sales hit record highs for third year despite slowing growth, SIAM data shows. Indian auto sales saw modest growth in fiscal year 2024-25, with passenger vehicle sales up 2% driven by utility vehicles. Two-wheeler sales surged by 9.1% due to rural demand, while three-wheelers also rose. Commercial vehicles experienced a slight decline. …",positive,0.885114848613739,neutral,-0.0217,positive,1
"Car dealers struggle as demand slows, inventory piles up",Automakers offer discounts as inventory surges from about a week at the start of the year to up to 55 days in March as demand slows,2025-04-01T23:30:06Z,Livemint,auto,"Car dealers struggle as demand slows, inventory piles up. Automakers offer discounts as inventory surges from about a week at the start of the year to up to 55 days in March as demand slows",negative,0.8777366280555725,negative,-0.5106,negative,-1
"Fair trade farce: How ""reciprocity"" became global satire","In a convenience store in New York, a bottle of San Pellegrino mineral water from Italy, originally",2025-04-15T05:26:20Z,People.cn,auto,"Fair trade farce: How ""reciprocity"" became global satire. In a convenience store in New York, a bottle of San Pellegrino mineral water from Italy, originally",neutral,0.8643834590911865,negative,-0.1027,negative,-1
IHCL Hits 380 Hotels in Fiscal 2025 Driven by Upscale and Midscale Surge,"In a country with a booming middle-class like India, the move to upscale and midscale travel is a no-brainer. As consumers look for quality without a hefty price tag, brands that upgrade their midscale offerings are already reaping the benefits. -Peden Doma B…",2025-04-16T09:49:21Z,Skift,banking,"IHCL Hits 380 Hotels in Fiscal 2025 Driven by Upscale and Midscale Surge. In a country with a booming middle-class like India, the move to upscale and midscale travel is a no-brainer. As consumers look for quality without a hefty price tag, brands that upgrade their midscale offerings are already reaping the benefits. -Peden Doma B…",positive,0.5154044032096863,positive,0.6249,positive,1
"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected","Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",2025-04-04T01:07:54Z,BusinessLine,banking,"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected. Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",negative,0.9721411466598512,negative,-0.8689,negative,-1
3 Drivers Of Global Energy Demand Everyone Must Know,These drivers from the IEA's recent Global Energy Review 2025 impacted energy trends last year and also point toward the future direction of energy demand.,2025-04-04T10:30:14Z,Forbes,energy,3 Drivers Of Global Energy Demand Everyone Must Know. These drivers from the IEA's recent Global Energy Review 2025 impacted energy trends last year and also point toward the future direction of energy demand.,neutral,0.618003249168396,positive,0.6597,positive,1
The Market-Driven Clean Energy Shift—And Why Texas Matters,"Texas is leading a market-driven shift to clean, distributed energy—reshaping infrastructure, investment models, and the future of power generation.",2025-04-16T23:03:29Z,Forbes,energy,"The Market-Driven Clean Energy Shift—And Why Texas Matters. Texas is leading a market-driven shift to clean, distributed energy—reshaping infrastructure, investment models, and the future of power generation.",neutral,0.5699151754379272,positive,0.765,positive,1
In the Line of Fire: The IEA Is Right Where It Should Be,"The IEA is right where it should be, and as a result, the agency may just have to take some bullets to do its duty of informing policy makers. Conservative critics in the United States are up in arms about the International Energy Agency (IEA). Energy analyst…",2025-04-03T13:16:37Z,The National Interest ,energy,"In the Line of Fire: The IEA Is Right Where It Should Be. The IEA is right where it should be, and as a result, the agency may just have to take some bullets to do its duty of informing policy makers. Conservative critics in the United States are up in arms about the International Energy Agency (IEA). Energy analyst…",neutral,0.4706422090530395,positive,0.34,positive,1
Significant Movement in Sudan's Civil War,"Politics, Geopolitics, & Conflict Sudan's army intensified its offensive on the city of Omdurman (across the Nile from Khartoum) in an attempt to rout the Rapid Support Forces (RSF) paramilitary forces after having declared victory in the capital. This is the…",2025-03-28T14:30:00Z,OilPrice.com,energy,"Significant Movement in Sudan's Civil War. Politics, Geopolitics, & Conflict Sudan's army intensified its offensive on the city of Omdurman (across the Nile from Khartoum) in an attempt to rout the Rapid Support Forces (RSF) paramilitary forces after having declared victory in the capital. This is the…",neutral,0.5234952569007874,negative,-0.6908,negative,-1
The only congressional hearing on Peak Oil was in 2005,"Preface. This U.S. House hearing happened 20 years ago, but it is still a good introduction to why oil is so important to society. At this hearing scientific experts spoke, warning that we will reach peak oil within decades (which … Continue reading →
The pos…",2025-03-20T12:01:53Z,Energyskeptic.com,energy,"The only congressional hearing on Peak Oil was in 2005. Preface. This U.S. House hearing happened 20 years ago, but it is still a good introduction to why oil is so important to society. At this hearing scientific experts spoke, warning that we will reach peak oil within decades (which … Continue reading →
The pos…",neutral,0.7905840873718262,positive,0.6059,positive,1
Rural demand continued to outpace urban demand for FMCG industry in March quarter,Analysts and industry observers expect urban demand may begin seeing some recovery in the second half of FY26 aided by stabilising food inflation and rebates in income tax,2025-04-07T09:32:11Z,BusinessLine,fmcg,Rural demand continued to outpace urban demand for FMCG industry in March quarter. Analysts and industry observers expect urban demand may begin seeing some recovery in the second half of FY26 aided by stabilising food inflation and rebates in income tax,positive,0.9535925984382628,negative,-0.3612,neutral,0
Negative wealth effect: Retailers warn stock market crash could hurt consumer sentiment,"US President Donald Trump's sweeping import taxes on all its trading partners, including India, have sparked concerns of a global recession, prompting investors to dump shares and cut their losses.",2025-04-10T00:30:17Z,Livemint,fmcg,"Negative wealth effect: Retailers warn stock market crash could hurt consumer sentiment. US President Donald Trump's sweeping import taxes on all its trading partners, including India, have sparked concerns of a global recession, prompting investors to dump shares and cut their losses.",negative,0.9640167951583862,negative,-0.9325,negative,-1
"Beverages, packaged food, dairy products garner double-digit growth in March quarter : Bizom","FMCG industry sees rural demand outpacing urban consumption, but urban growth is catching up, signaling early recovery.",2025-04-12T14:41:28Z,BusinessLine,fmcg,"Beverages, packaged food, dairy products garner double-digit growth in March quarter : Bizom. FMCG industry sees rural demand outpacing urban consumption, but urban growth is catching up, signaling early recovery.",positive,0.9484728574752808,positive,0.6059,positive,1
Dabur expects flat revenue growth in Q4; Marico estimates demand to be stable,"Dabur anticipates flat consolidated revenue growth in Q4 2025, citing delayed winters and urban slowdown. The company expects a mid-single digit decline in India FMCG business with margins contracting by 150-175 bps. In contrast, Marico reports stable demand …",2025-04-03T11:50:13Z,The Times of India,fmcg,"Dabur expects flat revenue growth in Q4; Marico estimates demand to be stable. Dabur anticipates flat consolidated revenue growth in Q4 2025, citing delayed winters and urban slowdown. The company expects a mid-single digit decline in India FMCG business with margins contracting by 150-175 bps. In contrast, Marico reports stable demand …",negative,0.9552437663078308,positive,0.6908,neutral,0
Rural-urban divide in FMCG demand continues to widen,"Marico observed stable demand and volume pick-up in Q1 2025 due to rural market improvement and easing consumer wallet stress. Dabur expects flat revenue growth and mid-single digit decline in India's FMCG business, citing inflation and urban slowdown impacts…",2025-04-03T19:01:15Z,The Times of India,fmcg,"Rural-urban divide in FMCG demand continues to widen. Marico observed stable demand and volume pick-up in Q1 2025 due to rural market improvement and easing consumer wallet stress. Dabur expects flat revenue growth and mid-single digit decline in India's FMCG business, citing inflation and urban slowdown impacts…",negative,0.9695119261741638,positive,0.6124,neutral,0
Muted outlook for IT services as discretionary spends remain weak: Ashi Anand,"Ashi Anand of IME Capital suggests IT spending clarity may take one to two quarters, with no significant discretionary spending changes expected due to economic uncertainties. While quick commerce holds long-term potential, QSR's growth hinges on discretionar…",2025-04-09T02:30:00Z,The Times of India,fmcg,"Muted outlook for IT services as discretionary spends remain weak: Ashi Anand. Ashi Anand of IME Capital suggests IT spending clarity may take one to two quarters, with no significant discretionary spending changes expected due to economic uncertainties. While quick commerce holds long-term potential, QSR's growth hinges on discretionar…",positive,0.6685232520103455,negative,-0.1511,neutral,0
"Nestle shares fall 4% after BofA downgrades to ‘underperform’, lowers target price",Nestle shares: The global brokerage firm believes that the factors mentioned above make the operating environment challenging and could impact Nestle India's near-term performance. It also noted that pricing could remain a key growth driver.,2025-04-02T05:01:07Z,The Times of India,fmcg,"Nestle shares fall 4% after BofA downgrades to ‘underperform’, lowers target price. Nestle shares: The global brokerage firm believes that the factors mentioned above make the operating environment challenging and could impact Nestle India's near-term performance. It also noted that pricing could remain a key growth driver.",negative,0.9608715176582336,positive,0.7269,neutral,0
Biosensors Market to Worth Over USD 75.84 Billion by 2033 | Astute Analytica,"Biosensors market in 2025 is driven by advanced healthcare applications, dominated by oxidoreductase enzymes and non-wearable devices, addressing chronic diseases, real-time diagnostics, and industrial monitoring with unparalleled precision, reliability, and …",2025-04-16T12:30:00Z,GlobeNewswire,fmcg,"Biosensors Market to Worth Over USD 75.84 Billion by 2033 | Astute Analytica. Biosensors market in 2025 is driven by advanced healthcare applications, dominated by oxidoreductase enzymes and non-wearable devices, addressing chronic diseases, real-time diagnostics, and industrial monitoring with unparalleled precision, reliability, and …",neutral,0.6118074655532837,positive,0.4404,positive,1
"'Nowhere to absorb it': From consumer small business to big food, the Trump tariff cost warnings mount","President Trump's 'Liberation Day' tariffs on countries around the world will hit food and consumer businesses particularly hard, say CEOs in the sector.",2025-04-01T18:46:10Z,CNBC,fmcg,"'Nowhere to absorb it': From consumer small business to big food, the Trump tariff cost warnings mount. President Trump's 'Liberation Day' tariffs on countries around the world will hit food and consumer businesses particularly hard, say CEOs in the sector.",negative,0.9234979152679444,negative,-0.4391,negative,-1
"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected","Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",2025-04-04T01:07:54Z,BusinessLine,fmcg,"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected. Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",negative,0.9721411466598512,negative,-0.8689,negative,-1
Is the worst over? Mihir Vora on the market’s next big moves,"Mihir Vora, CIO at Trust Mutual Fund, discusses market trends, highlighting the end of the correction phase and the potential growth in various sectors such as large banks, NBFCs, construction, and capital goods. He also mentions optimistic earnings forecasts…",2025-03-27T06:49:16Z,The Times of India,infrastructure,"Is the worst over? Mihir Vora on the market’s next big moves. Mihir Vora, CIO at Trust Mutual Fund, discusses market trends, highlighting the end of the correction phase and the potential growth in various sectors such as large banks, NBFCs, construction, and capital goods. He also mentions optimistic earnings forecasts…",neutral,0.7760860919952393,positive,0.4767,positive,1
How India's market slump impacts small investors,"Trump's repeated tariff threats have rattled global markets. But in India, the market slump isn't just about Trump. Millions of small investors are feeling the squeeze — for reasons beyond a potential US trade war.",2025-03-24T13:37:00Z,DW (English),infrastructure,"How India's market slump impacts small investors. Trump's repeated tariff threats have rattled global markets. But in India, the market slump isn't just about Trump. Millions of small investors are feeling the squeeze — for reasons beyond a potential US trade war.",negative,0.6532797813415527,negative,-0.7579,negative,-1
How India's market slump is affecting small investors,"Trump's tariff threats have rattled global markets. But in India, the market slump isn't just about the new US president. Millions of small investors are feeling the squeeze, for other reasons than a trade war.",2025-03-24T13:37:00Z,DW (English),infrastructure,"How India's market slump is affecting small investors. Trump's tariff threats have rattled global markets. But in India, the market slump isn't just about the new US president. Millions of small investors are feeling the squeeze, for other reasons than a trade war.",negative,0.7775393128395081,negative,-0.7579,negative,-1
India looks attractive; 4 themes could prove to be longer term stories: Jonathan Schiessl,"Jonathan Schiessl of Westminster Asset Management discusses sector prospects. He sees potential in IT, selective healthcare, and FMCG for medium to long-term investments. He advises caution on the auto and metal sectors due to competition and global issues. S…",2025-03-25T02:41:00Z,The Times of India,infrastructure,"India looks attractive; 4 themes could prove to be longer term stories: Jonathan Schiessl. Jonathan Schiessl of Westminster Asset Management discusses sector prospects. He sees potential in IT, selective healthcare, and FMCG for medium to long-term investments. He advises caution on the auto and metal sectors due to competition and global issues. S…",neutral,0.8697854280471802,positive,0.765,positive,1
There is no deep value in this market; go for a diversified portfolio: Prashant Jain,"Prashant Jain of 3P Investment Managers suggests a diversified portfolio approach due to low valuation dispersion, noting no sector trades below 15-year average multiples, with premiums mainly in capital goods and consumer discretionary. He anticipates India'…",2025-04-09T02:41:00Z,The Times of India,infrastructure,"There is no deep value in this market; go for a diversified portfolio: Prashant Jain. Prashant Jain of 3P Investment Managers suggests a diversified portfolio approach due to low valuation dispersion, noting no sector trades below 15-year average multiples, with premiums mainly in capital goods and consumer discretionary. He anticipates India'…",neutral,0.7769880294799805,negative,-0.7605,negative,-1
Is A Recession Coming In 2025?,"Will a recession hit in 2025? Explore expert forecasts, economic indicators, and potential impacts. Stay informed and prepare for what's ahead.",2025-04-04T20:40:10Z,Forbes,infrastructure,"Is A Recession Coming In 2025?. Will a recession hit in 2025? Explore expert forecasts, economic indicators, and potential impacts. Stay informed and prepare for what's ahead.",neutral,0.9039536118507384,negative,-0.7149,negative,-1
"Post correction, Zomato, Swiggy, PB Fintech, Paytm are worth nibbling into: Pashupati Advani","Pashupati Advani highlights the potential in new-age tech stocks such as Zomato, Swiggy, and Paytm after recent corrections. He also suggests considering traditional industries like infrastructure, steel, and cement supported by government spending. Defence c…",2025-03-20T03:21:00Z,The Times of India,infrastructure,"Post correction, Zomato, Swiggy, PB Fintech, Paytm are worth nibbling into: Pashupati Advani. Pashupati Advani highlights the potential in new-age tech stocks such as Zomato, Swiggy, and Paytm after recent corrections. He also suggests considering traditional industries like infrastructure, steel, and cement supported by government spending. Defence c…",neutral,0.7727570533752441,positive,0.7269,positive,1
India may become best-performing market in 2nd half of FY25: Mayuresh Joshi,"Amidst a mixed earnings season, the IT sector faces headwinds from discretionary spending uncertainty and pricing challenges, potentially delaying recovery. However, domestically focused sectors like agrochemicals, healthcare, and banking show promise. Valuat…",2025-04-19T03:30:00Z,The Times of India,infrastructure,"India may become best-performing market in 2nd half of FY25: Mayuresh Joshi. Amidst a mixed earnings season, the IT sector faces headwinds from discretionary spending uncertainty and pricing challenges, potentially delaying recovery. However, domestically focused sectors like agrochemicals, healthcare, and banking show promise. Valuat…",negative,0.8587685227394104,positive,0.6486,neutral,0
Fund Manager Talk | How Axis MF's Shreyash Devalkar is tweaking portfolio amid tariff tantrum,"On the positive side there has been a good union budget (tax rates cut), easing actions by the central bank (rate cuts, liquidity boost, regulatory relaxations), and uptick in government spending. The rally in March was a welcome relief. However, I believe th…",2025-04-08T03:30:00Z,The Times of India,infrastructure,"Fund Manager Talk | How Axis MF's Shreyash Devalkar is tweaking portfolio amid tariff tantrum. On the positive side there has been a good union budget (tax rates cut), easing actions by the central bank (rate cuts, liquidity boost, regulatory relaxations), and uptick in government spending. The rally in March was a welcome relief. However, I believe th…",positive,0.939993977546692,positive,0.9042,positive,1
"Post tariff tantrum, expect a correction in short term; more positive on India in H2: Manishi Raychaudhuri",Veteran Investor Manishi Raychaudhuri discusses the impact of recent tariffs on various Asian markets. He points out the surprising calmness in financial markets and highlights sectors like IT and pharma. He expects a short-term correction in Indian markets b…,2025-04-03T09:23:19Z,The Times of India,infrastructure,"Post tariff tantrum, expect a correction in short term; more positive on India in H2: Manishi Raychaudhuri. Veteran Investor Manishi Raychaudhuri discusses the impact of recent tariffs on various Asian markets. He points out the surprising calmness in financial markets and highlights sectors like IT and pharma. He expects a short-term correction in Indian markets b…",positive,0.561789870262146,positive,0.8122,positive,1
National Bank Financial Forecasts WSP Global Q2 Earnings,"WSP Global Inc. (TSE:WSP – Free Report) – Stock analysts at National Bank Financial raised their Q2 2025 earnings estimates for shares of WSP Global in a report issued on Tuesday, April 8th. National Bank Financial analyst M. Sytchev now anticipates that the …",2025-04-12T06:10:53Z,ETF Daily News,infrastructure,"National Bank Financial Forecasts WSP Global Q2 Earnings. WSP Global Inc. (TSE:WSP – Free Report) – Stock analysts at National Bank Financial raised their Q2 2025 earnings estimates for shares of WSP Global in a report issued on Tuesday, April 8th. National Bank Financial analyst M. Sytchev now anticipates that the …",positive,0.935224950313568,positive,0.6705,positive,1
"This is not the time to take cash calls, go back to drawing table to evaluate opportunities: Nilesh Shah, Envision Capital","Nilesh Shah of Envision Capital advises against holding cash. He suggests a constructive and proactive approach. Focus on sectors like consumer goods, digital platforms, and infrastructure. These are less dependent on global events. Financials also present a …",2025-04-09T07:57:32Z,The Times of India,infrastructure,"This is not the time to take cash calls, go back to drawing table to evaluate opportunities: Nilesh Shah, Envision Capital. Nilesh Shah of Envision Capital advises against holding cash. He suggests a constructive and proactive approach. Focus on sectors like consumer goods, digital platforms, and infrastructure. These are less dependent on global events. Financials also present a …",neutral,0.8691514134407043,positive,0.7845,positive,1
"Senate moves to cut election costs, boost voters’ turnout","The Senate on Thursday passed a bill seeking to amend the Electoral Act 2022 to address existing gaps, reduce election expenses, enable elected public officeholders to serve as ad hoc delegates in political party conventions and allow elections to be conducte…",2025-03-27T17:51:48Z,The Punch,infrastructure,"Senate moves to cut election costs, boost voters’ turnout. The Senate on Thursday passed a bill seeking to amend the Electoral Act 2022 to address existing gaps, reduce election expenses, enable elected public officeholders to serve as ad hoc delegates in political party conventions and allow elections to be conducte…",positive,0.7567934989929199,positive,0.6369,positive,1
India To Grow At 6.5% In FY26: Report,"The Indian economy is likely to grow at 6.5 per cent in the fiscal year starting April 1, EY Economy Watch said.",2025-03-30T07:44:23Z,NDTV News,infrastructure,"India To Grow At 6.5% In FY26: Report. The Indian economy is likely to grow at 6.5 per cent in the fiscal year starting April 1, EY Economy Watch said.",positive,0.8878817558288574,neutral,0.0,positive,1
